% NextBus#  Stop#   StopLocation
% Bus 104 College Park Metro
% Bus 105 Campus Connector
% Bus 108 Adelphi
% Bus 109 River Road
% Bus 111 Silver Spring
% Bus 113 Hyattsville
% Bus 114 University View
% Bus 115 Orange
% Bus 116 Purple
% Bus 117 Blue
% Bus 118 Gold
% Bus 122 Green
% Bus 123 Discovery District
% Bus 126 New Carrollton
% Bus 127 Mazza Grandmarc
% Bus 128 The Enclave
% Bus 131 MGM/Enclave
% Bus 132 The Varsity
% Bus 133 Grocery Shopping Shuttle
% Bus 140 Carey School of Law
% Bus 141 Gaithersburg Park & Ride
% Bus 142 Columbia Park & Ride
% Bus 143 Greenbelt


10003   104#0 	Regents Drive Garage
36112   104#1 	Campus Drive at Math Slip
27956 	 111#38 	University Boulevard and Riggs Road 
30193 	 111#39 	University Boulevard and Guilford Road
27788 	 111#40 	University Boulevard and 25th Avenue
34110 	 111#41 	University Boulevard at Graduate Hills
36411 	 111#42 	Stadium Drive and University Boulevard
37091 	 111#43 	Stadium Drive Garage
37092 	 111#44 	Varsity Team House
10003 	 111#45 	Regents Drive Garage
10002 	 111#46 	Stamp Student Union - Lot HH
10003   113#0 	Regents Drive Garage
10001 	113#1 	Stamp Student Union - Slip
27719 	113#2 	Art/Sociology Building
34422 	113#3 	Campus Drive at Lot 3
27580 	113#4 	Adelphi Road at Graduate Hills Apartments
27859 	113#5 	Adelphi Road and Wells Boulevard
36152 	113#6 	Adelphi Road at Northwestern High School
27987 	113#7 	Toledo Road and Adelphi Road 
37240 	113#8 	Toledo Road and Belcrest Road  
30537 	113#9 	The Mall at Prince George's
37323 	113#10 	Prince George's Plaza Metro Station 
37211 	113#11 	Queensbury Road and 39th Place
37212 	113#12 	42nd Avenue and Queensbury Road
37213 	113#13 	42nd Avenue and Oglethorpe Street
37214 	113#14 	42nd Avenue and Madison Street 
37215 	113#15 	42nd Avenue and Jefferson Street 
37216 	113#16 	Farragut Street and 42nd Place
37217 	113#17 	Farragut Street and Rhode Island Avenue
37179 	113#18 	Baltimore Avenue and Gallatin Street 
37171 	113#19 	Baltimore Avenue and Hamilton Street 
37172 	113#20 	Baltimore Avenue and Longfellow Street 
37173 	113#21 	Baltimore Avenue and Oglethorpe Street
